newid,st_wgt,caladj45,state,psu
05461532,65475.56547905286,0.95868978332978,06,S49A
05462201,34989.36759365358,0.6445520346936189,06,NA
05462202,34989.36759365358,0.6445520346936189,06,NA
05462421,57548.85715628854,1.4646047634728823,06,S49C
05462422,57548.85715628854,1.4646047634728823,06,S49C
05462441,16082.19646334881,0.4907238156922049,06,S49B
05462442,16082.19646334881,0.4907238156922049,06,S49B
05462611,28586.51312464644,0.5408298483488316,06,NA
05462612,28586.51312464644,0.5408298483488316,06,NA
05462651,22314.666232570693,1.0982564435774158,06,S49A
05462652,22314.666232570693,1.0982564435774158,06,S49A
05462791,20052.3068903767,0.4907238156922049,06,S49B
05462792,20052.3068903767,0.4907238156922049,06,S49B
05462951,8905.26274169284,0.48001170103259183,06,S49C
05462952,8905.26274169284,0.48001170103259183,06,S49C
05463141,35701.29988232883,1.714240348589498,06,S49E
05463142,35701.29988232883,1.714240348589498,06,S49E
05463211,25893.1007559685,1.168488352398383,06,S49C
05463212,25893.1007559685,1.168488352398383,06,S49C
05463361,43453.022287779924,1.1002064029587264,06,S49B
05463362,43453.022287779924,1.1002064029587264,06,S49B
05463571,25831.872029276423,0.7318814863735948,06,S49A
05463572,25831.872029276423,0.7318814863735948,06,S49A
05463641,21560.422932105786,0.7661883293260985,06,S49C
05463642,21560.422932105786,0.7661883293260985,06,S49C
05464551,21940.499946830343,0.5686789288670633,06,S49A
05464552,21940.499946830343,0.5686789288670633,06,S49A
05464891,6334.122357438131,0.6659762640128447,06,S49E
05464892,6334.122357438131,0.6659762640128447,06,S49E
05465481,27367.34185813588,0.5408298483488316,06,NA
05465482,27367.34185813588,0.5408298483488316,06,NA
05465691,24890.20154260418,1.123230116990807,06,S49C
05465692,24890.20154260418,1.123230116990807,06,S49C
05465911,23235.772395442145,0.6684086087872363,06,S49E
05465912,9584.96598450924,0.27572458836081193,06,S49E
05466241,58378.51747941227,1.1637963917119298,06,NA
05466242,58378.51747941227,1.1637963917119298,06,NA
05466301,19897.718611231903,0.5686789288670633,06,S49A
05466302,19897.718611231903,0.5686789288670633,06,S49A
05466701,27087.854522627433,0.7538082454404964,06,S49A
05466702,27087.854522627433,0.7538082454404964,06,S49A
05466731,31521.32171259703,0.5408298483488316,06,NA
05466732,31521.32171259703,0.5408298483488316,06,NA
05466851,25459.78783185369,0.5667289694857526,06,S49A
05466852,25459.78783185369,0.5667289694857526,06,S49A
05467241,32869.85260673743,1.368238581693093,06,S49C
05467242,32869.85260673743,1.368238581693093,06,S49C
05467561,14704.385368819992,0.5289321498563103,06,S49A
05467562,14704.385368819992,0.5289321498563103,06,S49A
05467591,15245.777107916188,0.25,06,NA
05467592,15245.777107916188,0.25,06,NA
05467641,25481.693873839118,0.6043027259351904,06,S49A
05467642,25481.693873839118,0.6043027259351904,06,S49A
05467771,36258.86203587584,0.8311110228913756,06,S49A
05467772,36258.86203587584,0.8311110228913756,06,S49A
05468141,46498.311189601794,1.3502433400852636,06,S49A
05468142,46498.311189601794,1.3502433400852636,06,S49A
05468321,48264.88249086996,2.242232385898931,06,S49E
05468322,43074.14707275501,2.242232385898931,06,S49E
05469071,21493.945083312818,0.6183025761306093,06,S49E
05469072,21493.945083312818,0.6183025761306093,06,S49E
05469201,18800.77410088395,0.5408298483488316,06,S49E
05469202,18800.77410088395,0.5408298483488316,06,S49E
05470001,40785.76950422023,0.771628265384348,06,NA
05470002,40785.76950422023,0.771628265384348,06,NA
05470021,27381.191018293794,0.4907238156922049,06,NA
05470022,27381.191018293794,0.4907238156922049,06,NA
05470211,31678.540467010003,0.8311110228913756,06,S49C
05470212,31678.540467010003,0.8311110228913756,06,S49C
05470261,33051.366772467976,0.9197625000293967,06,S49A
05470262,33051.366772467976,0.9197625000293967,06,S49A
05470471,20549.174405027665,1.0063634712120155,06,S49E
05470472,20549.174405027665,1.0063634712120155,06,S49E
05470711,52438.466968663306,0.8311110228913756,06,NA
05470712,52438.466968663306,0.8311110228913756,06,NA
05470931,56047.31465708919,1.5569221166360974,06,S49A
05470932,56047.31465708919,1.5569221166360974,06,S49A
05471331,24392.98872759249,0.617616933700481,06,S49B
05471332,24392.98872759249,0.617616933700481,06,S49B
05471381,136089.16204342473,1.801296450549761,06,NA
05471382,136089.16204342473,1.801296450549761,06,NA
05471461,74034.55615781184,1.4245737436190522,06,NA
05471462,74034.55615781184,1.4245737436190522,06,NA
05471521,20653.307751754764,1.0751116078677592,06,S49E
05471522,20653.307751754764,1.0751116078677592,06,S49E
05471641,37618.78794220865,0.6684086087872363,06,S49B
05471642,37618.78794220865,0.6684086087872363,06,S49B
05471791,23158.483795350217,0.3635565697884632,06,NA
05471792,23158.483795350217,0.3635565697884632,06,NA
05471841,16863.53584336817,0.48196166041390254,06,S49A
05471842,16863.53584336817,0.48196166041390254,06,S49A
05471861,18932.872848925406,0.4907238156922049,06,S49A
05471862,18932.872848925406,0.4907238156922049,06,S49A
05471931,35527.67137914673,0.7398083952450774,06,NA
05471932,35527.67137914673,0.7398083952450774,06,NA
05472101,13744.728037909454,0.6659762640128447,06,S49B
05472102,13744.728037909454,0.6659762640128447,06,S49B
05472531,39212.723713340354,0.6659762640128447,06,S49A
05472532,39212.723713340354,0.6659762640128447,06,S49A
05472641,16882.65917897554,0.7661883293260985,06,S49A
05472642,16882.65917897554,0.7661883293260985,06,S49A
05472951,19058.144527376022,0.9234283760545905,06,S49B
05472952,19058.144527376022,0.9234283760545905,06,S49B
05473181,28251.172078235104,1.4815373985847953,06,S49A
05473182,35528.58038673259,1.8631765229352173,06,S49A
05473231,38831.957818527095,1.1002064029587264,06,S49A
05473232,38831.957818527095,1.1002064029587264,06,S49A
05473381,21500.89323043735,0.5778701546897278,06,S49A
05473382,21500.89323043735,0.5778701546897278,06,S49A
05473561,22706.571707400453,1.1002064029587264,06,S49B
05473562,22706.571707400453,1.1002064029587264,06,S49B
05474241,29005.48463327975,0.8217978620493299,06,S49A
05474242,29005.48463327975,0.8217978620493299,06,S49A
05474461,42794.92189072454,1.265232093081028,06,S49A
05474462,42794.92189072454,1.265232093081028,06,S49A
05474621,55756.391511146576,1.327649278184077,06,NA
05474622,55756.391511146576,1.327649278184077,06,NA
05475301,9391.319054290354,0.5208731930178355,06,S49C
05475302,9391.319054290354,0.5208731930178355,06,S49C
05475341,31764.466408954107,0.5208731930178355,06,NA
05475342,31764.466408954107,0.5208731930178355,06,NA
05475791,55733.18422262942,1.6477518876685133,06,S49A
05475792,55733.18422262942,1.6477518876685133,06,S49A
05476001,4667.290503079242,0.4907238156922049,06,S49E
05476002,4667.290503079242,0.4907238156922049,06,S49E
05476171,12071.588689454022,0.5408298483488316,06,S49E
05476172,12071.588689454022,0.5408298483488316,06,S49E
05476391,27233.04460386608,1.4281451384114034,06,S49A
05476392,27233.04460386608,1.4281451384114034,06,S49A
05476741,52205.012642497386,1.0870880394785545,06,NA
05476742,52205.012642497386,1.0870880394785545,06,NA
05476851,79608.65432241994,2.2835459250574193,06,S49C
05476852,79608.65432241994,2.2835459250574193,06,S49C
05476951,23855.055902537075,0.6183025761306093,06,S49A
05476952,23855.055902537075,0.6183025761306093,06,S49A
05477161,19897.718611231903,0.5686789288670633,06,S49A
05477162,19897.718611231903,0.5686789288670633,06,S49A
05477251,34123.34496496507,0.5408298483488316,06,NA
05477252,34123.34496496507,0.5408298483488316,06,NA
05477321,38302.937484991955,0.771628265384348,06,S49A
05477322,38302.937484991955,0.771628265384348,06,S49A
05477851,42208.05255889364,1.6368447452019654,06,S49A
05477852,42208.05255889364,1.6368447452019654,06,S49A
05479001,25028.624611660143,1.32932704908916,06,S49E
05479002,25028.624611660143,1.32932704908916,06,S49E
05479071,17022.284782984338,0.7198444618226383,06,S49C
05479072,17022.284782984338,0.7198444618226383,06,S49C
05479121,52191.99109932167,1.15243214332795,06,NA
05479122,52191.99109932167,1.15243214332795,06,NA
05479271,42603.60714378952,1.2616548453690657,06,S49C
05479272,42603.60714378952,1.2616548453690657,06,S49C
05480111,53979.26989183012,0.7198444618226383,06,NA
05480112,53979.26989183012,0.7198444618226383,06,NA
05480201,41073.23009065066,0.8474232222610427,06,NA
05480202,41073.23009065066,0.8474232222610427,06,NA
05480431,33537.21506526146,1.1002064029587264,06,S49B
05480432,33537.21506526146,1.1002064029587264,06,S49B
05480541,40949.35608047009,0.8700225554953086,06,NA
05480542,40949.35608047009,0.8700225554953086,06,NA
05480651,34136.718471710265,1.9325707311104576,06,S49E
05480652,34136.718471710265,1.9325707311104576,06,S49E
05480731,33199.729130258675,1.2639677761298462,06,S49A
05480732,33199.729130258675,1.2639677761298462,06,S49A
05480881,47557.51447092992,1.810592055382107,06,S49A
05480882,47557.51447092992,1.810592055382107,06,S49A
05480951,30730.011192319944,0.9567398239484695,06,S49B
05480952,30730.011192319944,0.9567398239484695,06,S49B
05480961,52703.594033322144,1.6830132949437027,06,S49A
05480962,52703.594033322144,1.6830132949437027,06,S49A
05481071,29842.171579131395,1.4646047634728823,06,S49C
05481072,29842.171579131395,1.4646047634728823,06,S49C
05481101,36803.873235842904,1.761135770104564,06,S49C
05481102,36803.873235842904,1.761135770104564,06,S49C
05481111,25129.886005671666,0.7661883293260985,06,S49B
05481112,25129.886005671666,0.7661883293260985,06,S49B
05481161,21865.831898607827,1.293002440480986,06,S49C
05481162,21865.831898607827,1.293002440480986,06,S49C
05481711,13259.957037717722,0.7841072267428184,06,S49C
05481712,13259.957037717722,0.7841072267428184,06,S49C
05481741,65199.083918746015,0.7661883293260985,06,S49A
05481742,65199.083918746015,0.7661883293260985,06,S49A
05482641,24500.019526002998,1.3523507631212404,06,S49E
05482642,24500.019526002998,1.3523507631212404,06,S49E
05482701,25114.447295240603,0.769950494479265,06,S49C
05482702,25114.447295240603,0.769950494479265,06,S49C
05482831,17011.56167126632,0.6445520346936189,06,S49B
05482832,17011.56167126632,0.6445520346936189,06,S49B
05483131,9184.84273857859,0.4013533894179059,06,S49C
05483132,9184.84273857859,0.4013533894179059,06,S49C
05483331,8846.461862314767,0.27572458836081193,06,S49A
05483332,8846.461862314767,0.27572458836081193,06,S49A
05483451,31345.50823303361,0.6659762640128447,06,NA
05483452,31345.50823303361,0.6659762640128447,06,NA
05483631,49676.28159244716,1.0007489115147814,06,S49A
05483632,49676.28159244716,1.0007489115147814,06,S49A
05483651,15463.45747870005,0.48196166041390254,06,S49A
05483652,15463.45747870005,0.48196166041390254,06,S49A
05483951,15293.182347288119,0.5408298483488316,06,S49E
05483952,15293.182347288119,0.5408298483488316,06,S49E
05484011,19975.153575092776,1.314519987859991,06,S49E
05484012,21913.812063523863,1.4420987482983956,06,S49E
05484431,28810.06852384445,0.95868978332978,06,S49B
05484432,28810.06852384445,0.95868978332978,06,S49B
05484491,52031.26213173566,1.1488831461598301,06,NA
05484492,52031.26213173566,1.1488831461598301,06,NA
05484611,60871.51806091493,1.1878104294602134,06,NA
05484641,24418.842618065548,1.168488352398383,06,S49C
05484642,24418.842618065548,1.168488352398383,06,S49C
05485131,61479.61042727256,1.9632627264781806,06,S49A
05485132,61479.61042727256,1.9632627264781806,06,S49A
05485181,14590.482596606536,0.9475328474293547,06,S49B
05485182,14590.482596606536,0.9475328474293547,06,S49B
05485311,62381.17446214087,0.8436610571078762,06,NA
05485312,41840.86041692004,0.8436610571078762,06,NA
05485461,51910.55924402314,2.013111739768498,06,S49A
05485462,51910.55924402314,2.013111739768498,06,S49A
05486001,21674.021461099695,0.6659762640128447,06,S49A
05486002,21674.021461099695,0.6659762640128447,06,S49A
05486041,5721.169286685,0.25,06,S49C
05486042,5721.169286685,0.25,06,S49C
05486161,31618.936923208235,0.8627655383575046,06,NA
05486162,31618.936923208235,0.8627655383575046,06,NA
05486341,84565.385703722,2.700473678159798,06,S49A
05486342,84565.385703722,2.700473678159798,06,S49A
05486601,20151.079591528094,0.5686789288670633,06,S49A
05486602,20151.079591528094,0.5686789288670633,06,S49A
05486751,8343.93938145325,0.6659762640128447,06,S49E
05486752,8343.93938145325,0.6659762640128447,06,S49E
05486881,11269.798317475866,0.7318814863735948,06,S49B
05486882,9305.29050233972,0.6043027259351904,06,S49B
05486911,65825.24465776944,1.4534629966823753,06,NA
05486912,65825.24465776944,1.4534629966823753,06,NA
05486921,24848.285863390152,0.626229485002092,06,NA
05486922,24848.285863390152,0.626229485002092,06,NA
05487011,48492.758426290704,2.5268887069420214,06,S49C
05487012,48492.758426290704,2.5268887069420214,06,S49C
05487021,51246.59343334583,2.0223035471776942,06,S49A
05487022,51246.59343334583,2.0223035471776942,06,S49A
05487201,26683.338106527786,0.9097360277999123,06,S49B
05487202,26683.338106527786,0.9097360277999123,06,S49B
05487331,23981.10113844743,0.9086213148254216,06,S49B
05487332,23981.10113844743,0.9086213148254216,06,S49B
05487501,37998.64728888073,0.7661883293260985,06,NA
05487502,37998.64728888073,0.7661883293260985,06,NA
05487561,36365.23386672092,1.065831753731863,06,S49C
05487562,36365.23386672092,1.065831753731863,06,S49C
05487591,13469.370320332795,0.8193019532665833,06,S49A
05487592,13469.370320332795,0.8193019532665833,06,S49A
05487901,37248.643767800546,1.1596891604657542,06,S49B
05487902,37248.643767800546,1.1596891604657542,06,S49B
05488441,34553.62053640741,0.8708244951959794,06,NA
05488442,34553.62053640741,0.8708244951959794,06,NA
05488551,51035.62837109548,1.0843185843868741,06,NA
05488552,51035.62837109548,1.0843185843868741,06,NA
05488601,61367.19134234738,0.8311110228913756,06,NA
05488602,61367.19134234738,0.8311110228913756,06,NA
05489231,25759.058233075277,0.8436610571078762,06,S49A
05489232,25759.058233075277,0.8436610571078762,06,S49A
05489631,96012.56161660093,2.6486618392250185,06,NA
05489632,96012.56161660093,2.6486618392250185,06,NA
05490441,9794.520498030639,0.45097703668145195,06,S49C
05490442,9794.520498030639,0.45097703668145195,06,S49C
05490611,18938.898857822725,0.44026492202183887,06,S49A
05490612,24426.960975634338,0.5678436824602433,06,S49A
