newid,state,qintrvyr,qintrvmo,psu,nywgt
04472713,36,2021,2,S12A,21041.669181256642
04503243,36,2021,3,NA,38518.65902804829
04504033,36,2021,3,S12A,34022.45342501
04505183,36,2021,3,S12A,25633.967469881743
04506333,36,2021,3,S12A,34653.89481993179
04506563,36,2021,3,S12A,26024.47328641485
04506743,36,2021,3,NA,24595.774209123967
04507413,36,2021,3,NA,31031.673857716472
04507753,36,2021,3,S12A,20756.988186150873
04508353,36,2021,3,NA,29301.127450624736
04508463,36,2021,3,S12A,39179.080836733556
04509043,36,2021,3,S12A,34194.30191635161
04509253,36,2021,3,NA,16581.296845235673
04509353,36,2021,3,S12A,30618.675644533014
04509993,36,2021,3,S12A,17181.09775902275
04510313,36,2021,3,S12A,13195.816908420002
04510723,36,2021,3,NA,26734.776899940793
04510913,36,2021,3,S12A,29834.688748140292
04512333,36,2021,3,S12A,17647.29348715429
04512893,36,2021,3,S12A,32087.64557443876
04513263,36,2021,3,S12A,16780.364763833215
04513653,36,2021,3,NA,39805.184441383586
04514213,36,2021,3,NA,15035.804670051783
04514233,36,2021,3,S12A,41786.6193242601
04544522,36,2021,1,S12A,45821.52995867163
04545322,36,2021,1,S12A,33365.25730599351
04545902,36,2021,1,NA,34381.81194333126
04546262,36,2021,1,NA,31709.03729111865
04546372,36,2021,1,S12A,31973.939253141467
04546872,36,2021,1,S12A,21770.34595357792
04547092,36,2021,1,S12A,21830.775171190544
04547182,36,2021,1,S12A,37430.08578610107
04547642,36,2021,1,NA,17433.393538139982
04548562,36,2021,1,S12A,31960.207831176493
04548672,36,2021,1,S12A,34194.30191635161
04549802,36,2021,1,S12A,25192.350637167663
04549872,36,2021,1,S12A,35505.06355649626
04550212,36,2021,1,S12A,41334.586351773134
04550312,36,2021,1,S12A,27872.329968924616
04550902,36,2021,1,NA,22234.21409256745
04551262,36,2021,1,NA,17433.393538139982
04552202,36,2021,1,S12A,15799.436804644527
04552502,36,2021,1,S12A,25743.81171939569
04552562,36,2021,1,S12A,44981.100603747334
04552942,36,2021,1,S12A,32327.554218948353
04554052,36,2021,1,S12A,17069.683996478587
04554192,36,2021,1,NA,28662.233701189052
04556432,36,2021,2,S12A,34836.29367521078
04556632,36,2021,2,S12A,41687.64409538834
04556782,36,2021,2,NA,27655.098709352787
04557742,36,2021,2,S12A,36548.786198395916
04558132,36,2021,2,NA,34081.883478874806
04558322,36,2021,2,S12A,40993.49882872942
04558822,36,2021,2,NA,29282.714047040776
04558962,36,2021,2,S12A,84558.17158499503
04559743,36,2021,2,S12A,30565.760416843375
04560482,36,2021,2,S12A,25867.267581587505
04561392,36,2021,2,S12A,34756.49591010262
04561442,36,2021,2,S12A,25587.74940442082
04562162,36,2021,2,S12A,33889.68074787433
04562552,36,2021,2,S12A,33817.16848746034
04563032,36,2021,2,NA,23426.51660464782
04564192,36,2021,2,NA,22556.491580411806
04564912,36,2021,2,S12A,31721.04759830255
04566162,36,2021,2,S12A,30658.167063848876
04566172,36,2021,2,NA,31583.854291025695
04566302,36,2021,2,S12A,43516.55983740721
04567712,36,2021,2,S12A,19446.54145004658
04567722,36,2021,2,NA,32181.132735311836
04567932,36,2021,3,S12A,14879.898272524892
04570522,36,2021,3,S12A,27836.607598301413
04572782,36,2021,3,S12A,32087.64557443876
04573492,36,2021,3,S12A,35769.51861086642
04574862,36,2021,3,S12A,22749.062037109165
04575032,36,2021,3,NA,16581.296845235673
04575262,36,2021,3,NA,16944.841183128665
04575752,36,2021,3,S12A,39678.262640507004
04576102,36,2021,3,S12A,14879.898272524892
04577672,36,2021,3,S12A,41975.58554367705
04577712,36,2021,3,S12A,13851.943961552844
04577782,36,2021,3,S12A,20388.156546964277
04578652,36,2021,3,S12A,21107.05935545523
04579012,36,2021,3,S12A,20354.224789175165
04579222,36,2021,3,NA,27248.935489648135
04579282,36,2021,3,S12A,30618.675644533014
04579412,36,2021,3,NA,16136.080758915206
04579452,36,2021,3,S12A,20424.137613838113
04579522,36,2021,3,NA,42805.22656160472
04610431,36,2021,1,S12A,33933.82585971013
04611083,36,2021,1,NA,50617.161345024666
04611141,36,2021,1,S12A,43725.559096445366
04612521,36,2021,1,S12A,38930.98582971448
04614791,36,2021,1,NA,16374.907035742699
04616154,36,2021,1,S12A,34889.544368325856
04616651,36,2021,1,S12A,38432.011086332284
04617411,36,2021,1,S12A,33425.5237115402
04619621,36,2021,1,NA,28767.340556446372
04620061,36,2021,1,S12A,27094.339508231307
04620361,36,2021,1,NA,35106.19523471594
04652241,36,2021,2,S12A,22242.48676745557
04652391,36,2021,2,S12A,17791.648203845398
04652681,36,2021,2,NA,86489.61425381374
04652951,36,2021,2,S12A,15387.135513776491
04653011,36,2021,2,S12A,20373.473808126724
04653041,36,2021,2,S12A,15585.330048919526
04654521,36,2021,2,NA,35153.00106458862
04655761,36,2021,2,S12A,33023.07903872592
04656081,36,2021,2,NA,18065.260403624332
04656151,36,2021,2,S12A,34612.33932745142
04657271,36,2021,2,S12A,25920.397066583282
04657761,36,2021,2,S12A,41020.27272323309
04657911,36,2021,2,NA,17780.55110700231
04657991,36,2021,2,S12A,40821.94801307703
04660201,36,2021,2,NA,85248.75487378934
04660501,36,2021,2,S12A,18670.789336641352
04660611,36,2021,2,S12A,29028.340406014486
04662391,36,2021,2,S12A,32583.89249965391
04662681,36,2021,2,NA,12143.757734678105
04663421,36,2021,2,S12A,28020.459844512163
04679761,36,2021,3,NA,27304.29197426589
04680251,36,2021,3,S12A,36484.96573467775
04680421,36,2021,3,S12A,19679.788990463712
04681311,36,2021,3,S12A,39972.64367080501
04683171,36,2021,3,S12A,21144.594508880644
04683811,36,2021,3,NA,21945.050729014984
04685301,36,2021,3,NA,15569.476998635313
04685581,36,2021,3,S12A,30665.012678956973
04686471,36,2021,3,S12A,33933.82585971013
04686751,36,2021,3,S12A,15596.604774025154
04687901,36,2021,3,NA,25751.027920967907
04689881,36,2021,3,S12A,25771.569910463626
04690001,36,2021,3,S12A,29567.55870459013
04214964,36,2020,4,S12A,13806.042483081448
04215264,36,2020,4,S12A,31678.987995817744
04215344,36,2020,4,NA,15984.1998345656
04215454,36,2020,4,S12A,33132.008781310564
04215494,36,2020,4,S12A,12448.164720240002
04215974,36,2020,4,S12A,22437.841330936106
04215994,36,2020,4,NA,54898.33411200516
04216164,36,2020,4,S12A,31678.987995817744
04216214,36,2020,4,S12A,24465.974281912164
04216784,36,2020,4,S12A,17886.758669209714
04216884,36,2020,4,S12A,21427.851469394867
04217694,36,2020,4,S12A,20815.690497044194
04218634,36,2020,4,S12A,16262.976389705167
04219364,36,2020,4,NA,19916.677625396034
04219574,36,2020,4,S12A,17593.392593402063
04220174,36,2020,4,S12A,29361.842442436213
04220344,36,2020,4,S12A,38043.650389065224
04220514,36,2020,4,S12A,20815.690497044194
04220584,36,2020,4,NA,13726.456741097172
04220884,36,2020,4,S12A,40847.53560169641
04221184,36,2020,4,S12A,35652.06965425862
04221434,36,2020,4,NA,15984.1998345656
04221784,36,2020,4,S12A,13201.473716249304
04222014,36,2020,4,S12A,20815.690497044194
04224754,36,2020,4,S12A,21401.934470824304
04225124,36,2020,4,S12A,26452.507361145224
04225444,36,2020,4,NA,22015.465405318133
04226144,36,2020,5,S12A,24729.1207881196
04226234,36,2020,5,S12A,12357.689829270532
04226374,36,2020,5,S12A,29784.151794384772
04226454,36,2020,5,NA,25263.00991790152
04226604,36,2020,5,NA,20931.103900526447
04226934,36,2020,5,S12A,33994.79561846556
04227054,36,2020,5,S12A,14336.435666439946
04227964,36,2020,5,S12A,40466.2623448673
04229044,36,2020,5,NA,22220.50084912426
04229354,36,2020,5,NA,11845.294415002807
04229374,36,2020,5,S12A,33318.24208385052
04230034,36,2020,5,S12A,26688.62830564435
04230054,36,2020,5,NA,13758.287121783538
04230954,36,2020,5,S12A,23610.22345528395
04231524,36,2020,5,S12A,22512.01785553984
04231744,36,2020,5,NA,12289.06766290645
04231794,36,2020,5,S12A,29160.813993332165
04232834,36,2020,5,S12A,8227.26856490043
04233594,36,2020,5,S12A,21397.902095249246
04233644,36,2020,5,S12A,39207.45044616932
04234044,36,2020,5,S12A,18263.903011796643
04234244,36,2020,5,S12A,22674.916078535603
