newid,state,qintrvyr,qintrvmo,psu,txwgt
04222994,48,2020,4,S37A,65294.31909696426
04223104,48,2020,4,S37A,40429.604741969975
04223344,48,2020,4,S37A,35840.003908609055
04223834,48,2020,4,NA,56452.49315019436
04224464,48,2020,4,S37A,47474.77920284877
04225934,48,2020,5,S37A,38438.999649392565
04226024,48,2020,5,S37B,34386.7755369965
04226324,48,2020,5,S37A,56863.63228518293
04226694,48,2020,5,NA,29949.38337693295
04227424,48,2020,5,S37B,28640.794269969963
04228574,48,2020,5,S37A,35187.21399794357
04229064,48,2020,5,NA,94753.65247994414
04229474,48,2020,5,NA,40367.07498333657
04229914,48,2020,5,NA,34481.81369783594
04230384,48,2020,5,S37B,17888.599987724454
04230504,48,2020,5,NA,89815.2208055278
04231034,48,2020,5,S37B,36674.956724890224
04232334,48,2020,5,S37B,26729.828234506444
04232494,48,2020,5,S37A,46945.05072453572
04232574,48,2020,5,NA,36132.19140332918
04233124,48,2020,5,S37B,28037.9225333715
04233164,48,2020,5,S37A,21447.034609868126
04233284,48,2020,5,NA,38842.39620140477
04233634,48,2020,5,S37B,48842.034428853665
04233674,48,2020,5,NA,29680.19941757161
04233774,48,2020,5,NA,55123.828031959376
04234704,48,2020,5,NA,27238.79047514098
04235004,48,2020,5,NA,43686.91681340056
04235334,48,2020,5,S37B,42038.938401020445
04236264,48,2020,6,NA,45274.86472809789
04236524,48,2020,6,NA,23889.962920245016
04237844,48,2020,6,NA,54643.08638000683
04238374,48,2020,6,NA,23218.21968521119
04238514,48,2020,6,S37A,43972.864519095216
04238754,48,2020,6,NA,46167.89089397521
04238774,48,2020,6,NA,30741.275165576535
04239184,48,2020,6,NA,47814.255858665696
04239494,48,2020,6,S37B,47350.545650959604
04240964,48,2020,6,NA,69359.87434742786
04241124,48,2020,6,S37B,56856.44395164268
04241294,48,2020,6,NA,88091.79277471999
04241864,48,2020,6,NA,18535.297846262376
04241964,48,2020,6,S37A,27205.54719075909
04242104,48,2020,6,S37B,25136.598407129004
04242514,48,2020,6,NA,9422.817845677762
04242574,48,2020,6,NA,40874.39140452437
04243354,48,2020,6,NA,53518.355478316334
04243484,48,2020,6,NA,17610.715251778227
04243764,48,2020,6,S37A,38271.7431981028
04243934,48,2020,6,NA,77555.44848063528
04243954,48,2020,6,S37B,47350.545650959604
04245244,48,2020,6,NA,105124.79077174899
04245494,48,2020,6,NA,63957.39006142978
04245664,48,2020,6,S37B,47033.61792817831
04267103,48,2020,4,NA,49725.13289764417
04267443,48,2020,4,S37B,24622.832956050566
04267533,48,2020,4,NA,39999.33506975339
04267593,48,2020,4,S37A,52017.538182554235
04268223,48,2020,4,S37A,41109.30465318335
04268373,48,2020,4,S37B,52699.86265098792
04269283,48,2020,4,S37A,57384.41329985798
04269693,48,2020,4,NA,38953.564860214006
04269743,48,2020,4,NA,47312.42373895644
04270233,48,2020,4,S37B,17150.429795079683
04270303,48,2020,4,NA,48019.29858186123
04270343,48,2020,4,NA,33029.11276980241
04270713,48,2020,4,NA,40270.510415600955
04270893,48,2020,4,NA,73157.25013481465
04271103,48,2020,4,S37B,35286.259691885694
04271413,48,2020,4,S37B,29986.295016317574
04272003,48,2020,4,S37A,31926.176175526216
04272533,48,2020,4,NA,87154.83376422166
04273033,48,2020,4,NA,60896.57282803144
04273753,48,2020,4,NA,56340.78929410609
04274333,48,2020,4,S37A,43110.14254564036
04275203,48,2020,4,S37A,55551.49883189302
04275533,48,2020,4,S37B,37239.628305867605
04275613,48,2020,4,S37B,46799.18190930756
04275753,48,2020,4,S37B,53074.943498577326
04276203,48,2020,4,NA,50206.43672672424
04277153,48,2020,4,S37B,34096.50317357168
04277303,48,2020,4,S37A,30789.113131736325
04277853,48,2020,5,S37B,25054.440539115414
04278593,48,2020,5,NA,44388.5620984329
04279463,48,2020,5,S37B,34286.6808763315
